N;fOCnx;OCRnx
256;16.35;142
256;17.32;134
256;18.35;127
256;19.45;120
256;20.6;113
256;21.83;106
256;23.12;100
256;24.5;95
256;25.96;89
256;27.5;84
256;29.14;79
256;30.87;75
256;32.7;71
256;34.65;67
64;36.71;254
64;38.89;240
64;41.2;227
64;43.65;214
64;46.25;202
64;49.0;190
64;51.91;180
64;55.0;169
64;58.27;160
64;61.74;151
64;65.41;142
64;69.3;134
64;73.42;127
64;77.78;120
64;82.41;113
64;87.31;106
64;92.5;100
64;98.0;95
64;103.83;89
64;110.0;84
64;116.54;79
64;123.47;75
64;130.81;71
64;138.59;67
64;146.83;63
64;155.56;59
64;164.81;56
64;174.61;53
64;185.0;50
64;196.0;47
64;207.65;44
64;220.0;42
64;233.08;39
64;246.94;37
64;261.63;35
64;277.18;33
8;293.66;254
8;311.13;240
8;329.63;227
8;349.23;214
8;369.99;202
8;392.0;190
8;415.3;180
8;440.0;169
8;466.16;160
8;493.88;151
8;523.25;142
8;554.37;134
8;587.33;127
8;622.25;120
8;659.25;113
8;698.46;106
8;739.99;100
8;783.99;95
8;830.61;89
8;880.0;84
8;932.33;79
8;987.77;75
8;1046.5;71
8;1108.73;67
8;1174.66;63
8;1244.51;59
8;1318.51;56
8;1396.91;53
8;1479.98;50
8;1567.98;47
8;1661.22;44
8;1760.0;42
8;1864.66;39
8;1975.53;37
8;2093.0;35
8;2217.46;33
1;2349.32;254
1;2489.02;240
1;2637.02;227
1;2793.83;214
1;2959.96;202
1;3135.96;190
1;3322.44;180
1;3520.0;169
1;3729.31;160
1;3951.07;151
1;4186.01;142
1;4434.92;134
1;4698.63;127
1;4978.03;120
1;5274.04;113
1;5587.65;106
1;5919.91;100
1;6271.93;95
1;6644.88;89
1;7040.0;84
1;7458.62;79
1;7902.13;75
